ordinal	origin_refs	source_position	old_commit	old_parent	old_tree	old_patch	old_time	old_subject	new_commit	new_parent	new_tree	new_patch	new_time	new_subject	disposition	evidence
11	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/011	de0b356a4b92bc3e4b937e399bb12f09841b11e7	48d54ba7247a52bf71032f5d49b254d1b15b234c	5bb07e4e752fdd5ba0067bbc1ce51725dedeb1d7	8f1512f501277c54b9c30ce178bbdb574384a75b	2025-03-03T16:44:00+09:00	test: cover idempotency key guarantees	6736a04c7d1af324c66eca372e34563d18dbfdbb	b5fffc07d44a56370273bafd9f7a3a2b6ec1c14b	5bb07e4e752fdd5ba0067bbc1ce51725dedeb1d7	8f1512f501277c54b9c30ce178bbdb574384a75b	2025-03-17T16:44:00+09:00	test: cover idempotency key guarantees	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
12	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/012	8777a5091e07c6177b0151fcbba4096eb2939508	7db8455c045aa006cffc938d6485ee0e0b61c886 de0b356a4b92bc3e4b937e399bb12f09841b11e7	5bb07e4e752fdd5ba0067bbc1ce51725dedeb1d7	ab892049e1bb93058de7124c8ccddd4608eb6c88	2025-03-05T09:53:50+09:00	merge: integrate idempotency key exercise	43b935f9a25680a4e07c545df3df74fa1b228e51	9e6f1c11af479182701d76973ebbf93b1b7b8710 6736a04c7d1af324c66eca372e34563d18dbfdbb	5bb07e4e752fdd5ba0067bbc1ce51725dedeb1d7	ab892049e1bb93058de7124c8ccddd4608eb6c88	2025-03-19T09:53:50+09:00	chore(merge): integrate idempotency key exercise	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
13	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/013	071040094ba59f1fb14fd80e91f13bcb7e6b95a1	8777a5091e07c6177b0151fcbba4096eb2939508	15d31d98760ab20ba9b64910cdb36a75448f9060	87d46355913ffeac5fd0c09013958685405d2012	2025-03-09T09:23:20+09:00	feat: add spring main foundation	cf7e211e9cbb58c12dba257f82f1ec386123c84f	43b935f9a25680a4e07c545df3df74fa1b228e51	15d31d98760ab20ba9b64910cdb36a75448f9060	87d46355913ffeac5fd0c09013958685405d2012	2025-03-23T09:23:20+09:00	feat: add spring main foundation	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
14	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/014	b89a0c02a5bf7e5712cfcc5b84fa2afafa7c87a9	071040094ba59f1fb14fd80e91f13bcb7e6b95a1	4f6b824290035eecf685eec99aa045409d76d88b	e5b68630cb4fa8fbd9831772aeb128fc216b00e3	2025-03-10T19:33:10+09:00	docs: frame transaction race condition exercise	a375ca31a805bf247a49cec66ad7443d5b252efa	cf7e211e9cbb58c12dba257f82f1ec386123c84f	4f6b824290035eecf685eec99aa045409d76d88b	e5b68630cb4fa8fbd9831772aeb128fc216b00e3	2025-03-24T19:33:10+09:00	docs: frame transaction race condition exercise	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
15	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/015	0cf29498dd2fa0ec6b0e4ef1ae84358776edcf46	b89a0c02a5bf7e5712cfcc5b84fa2afafa7c87a9	b5839d1d95abfec91941878052a1d388328afba3	4f081ca075cb677ca2384afc0738328eccf7f0b3	2025-03-15T09:02:40+09:00	feat: implement transaction race condition exercise	c4ebe7841479320d842bb8621f35cf1685101c54	a375ca31a805bf247a49cec66ad7443d5b252efa	b5839d1d95abfec91941878052a1d388328afba3	4f081ca075cb677ca2384afc0738328eccf7f0b3	2025-03-29T09:02:40+09:00	feat: implement transaction race condition exercise	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
16	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/016	562dff960d36d4073b17001c312415e4e0025ecc	0cf29498dd2fa0ec6b0e4ef1ae84358776edcf46	410fd548503105a74a79e73fe55b59cc14c7de2f	b8aa20ae8cf8ca29adc4e1987236cbe069df618a	2025-03-17T11:17:40+09:00	test: cover transaction race condition guarantees	65593fe8cb2e1a26c6f1cf534148469e45d3d161	c4ebe7841479320d842bb8621f35cf1685101c54	410fd548503105a74a79e73fe55b59cc14c7de2f	b8aa20ae8cf8ca29adc4e1987236cbe069df618a	2025-03-31T11:17:40+09:00	test: cover transaction race condition guarantees	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
17	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/017	f78b21048a942efa69ddf8776ca5b88e152b1610	8777a5091e07c6177b0151fcbba4096eb2939508 562dff960d36d4073b17001c312415e4e0025ecc	410fd548503105a74a79e73fe55b59cc14c7de2f	1d537bba74fcdb16a95b583760b84bb084053bb3	2025-03-19T09:32:10+09:00	merge: integrate transaction race condition exercise	bd0d4b107e591d0dcd1010067e4e4505d7ab4c03	43b935f9a25680a4e07c545df3df74fa1b228e51 65593fe8cb2e1a26c6f1cf534148469e45d3d161	410fd548503105a74a79e73fe55b59cc14c7de2f	1d537bba74fcdb16a95b583760b84bb084053bb3	2025-04-02T09:32:10+09:00	chore(merge): integrate transaction race condition exercise	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
18	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/018	18e76488b16f7fb6ac3f857b169fc0981e50f861	f78b21048a942efa69ddf8776ca5b88e152b1610	721486fc36b86b16338ffccea1480fd6914c5940	80612f9caf4f72461220efa54c78d34980e8e97a	2025-03-23T15:01:40+09:00	feat: add spring main foundation	e7ad8784d360ac508bbdf875f71c9a07ce9c5387	bd0d4b107e591d0dcd1010067e4e4505d7ab4c03	721486fc36b86b16338ffccea1480fd6914c5940	80612f9caf4f72461220efa54c78d34980e8e97a	2025-04-06T15:01:40+09:00	feat: add spring main foundation	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
19	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/019	99692ba261b7f2a7dd78fb76c63be6b583ab468c	18e76488b16f7fb6ac3f857b169fc0981e50f861	187800ce1227f8f2a784de77fc21d6409308a8e7	3014a23a5f109d3926cb17447ea6b1273a09b990	2025-03-25T09:11:30+09:00	docs: frame cursor pagination exercise	00533c2543c9e27c2832be2ee624869448cbcfb4	e7ad8784d360ac508bbdf875f71c9a07ce9c5387	187800ce1227f8f2a784de77fc21d6409308a8e7	3014a23a5f109d3926cb17447ea6b1273a09b990	2025-04-08T09:11:30+09:00	docs: frame keyset pagination exercise	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
20	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/020	dcaaa818553ae76a00190f0ece8faca56989dc1b	99692ba261b7f2a7dd78fb76c63be6b583ab468c	b0f4fdad6fcdc232e9fbca9b1e42127fee71e5a3	9f5efd70f1a73d444a13e762339ee3af1b6051f8	2025-03-29T09:41:00+09:00	feat: implement cursor pagination exercise	1b017cbb9426e49784e7c6ea8a96502d0ffc8793	00533c2543c9e27c2832be2ee624869448cbcfb4	b0f4fdad6fcdc232e9fbca9b1e42127fee71e5a3	9f5efd70f1a73d444a13e762339ee3af1b6051f8	2025-04-12T09:41:00+09:00	feat: implement keyset pagination exercise	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
21	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/021	2e9898ce6527e2a36fe819e11c5fb8cf53eef4df	dcaaa818553ae76a00190f0ece8faca56989dc1b	e140238006d9ccf84c91282b03bb84babb3c1f3c	afd2373118d1d58f405cd28162e5948d7c7ad39d	2025-04-01T09:00:40+09:00	test: cover cursor pagination guarantees	cf3832f9affdede49717db125523f315808137d2	1b017cbb9426e49784e7c6ea8a96502d0ffc8793	e140238006d9ccf84c91282b03bb84babb3c1f3c	afd2373118d1d58f405cd28162e5948d7c7ad39d	2025-04-15T09:00:40+09:00	test: cover keyset pagination guarantees	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
22	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/022	266c3fbccd6aaea80077b4c1620d3872497a1c43	2e9898ce6527e2a36fe819e11c5fb8cf53eef4df	4fc7f23bce152846b88c3e6d8431585431772e16	5751fc1b29ac641f85bbab83632e8861da154d01	2025-04-04T09:20:20+09:00	test: cover cursor pagination scale behavior	773ef5cea0988db00e0ea3ffb5fe560820fc195a	cf3832f9affdede49717db125523f315808137d2	4fc7f23bce152846b88c3e6d8431585431772e16	5751fc1b29ac641f85bbab83632e8861da154d01	2025-04-18T09:20:20+09:00	test: cover keyset pagination scale behavior	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
23	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/023	115a471723e57836bc38e6ae49d4d67121a2ac00	f78b21048a942efa69ddf8776ca5b88e152b1610 266c3fbccd6aaea80077b4c1620d3872497a1c43	4fc7f23bce152846b88c3e6d8431585431772e16	72e30ad9ca2ccd9f88446bd563422875feb2bec9	2025-04-05T10:30:09+09:00	merge: integrate cursor pagination exercise	eaf69c385d8801afb54d99ffb10fd5ef4ad58edc	bd0d4b107e591d0dcd1010067e4e4505d7ab4c03 773ef5cea0988db00e0ea3ffb5fe560820fc195a	4fc7f23bce152846b88c3e6d8431585431772e16	72e30ad9ca2ccd9f88446bd563422875feb2bec9	2025-04-19T10:30:09+09:00	chore(merge): integrate keyset pagination exercise	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
24	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/024	d6236de9c7ef412fcda660278cc396f08232b9e2	115a471723e57836bc38e6ae49d4d67121a2ac00	abdc5c9d32b628d48a4bf1f61481a462c844383a	870391a86156674f2d1ded80ed4a172d8562deb6	2025-04-09T16:59:39+09:00	feat: add spring main foundation	a86898c5f31af8d61f804f51c7fe00fc1149609c	eaf69c385d8801afb54d99ffb10fd5ef4ad58edc	abdc5c9d32b628d48a4bf1f61481a462c844383a	870391a86156674f2d1ded80ed4a172d8562deb6	2025-04-23T16:59:39+09:00	feat: add spring main foundation	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
25	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/025	2ede31bbdc65a3a3f73a959f8f538efcf74d1e4a	d6236de9c7ef412fcda660278cc396f08232b9e2	df78ca0a905c68f2d633e5aa909b93661f4a2a32	fc5581280ead9d7df7dff22f0b86404bc5f9a41e	2025-04-11T09:09:29+09:00	docs: frame rate limiter exercise	046f491595d40828f2c047c0258160fcde8dea2e	a86898c5f31af8d61f804f51c7fe00fc1149609c	df78ca0a905c68f2d633e5aa909b93661f4a2a32	fc5581280ead9d7df7dff22f0b86404bc5f9a41e	2025-04-25T09:09:29+09:00	docs: frame rate limiter exercise	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
26	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/026	f4aa7555879402891854e1ec322ec320059f9da7	2ede31bbdc65a3a3f73a959f8f538efcf74d1e4a	66cd441015098106c438c3bebd30edc1dbcff938	d8b0a3ddce96d49c91e783df98b35319e4925d67	2025-04-15T09:38:59+09:00	feat: implement rate limiter exercise	c03c9b9a8eb2f4079702c05b7776872885ed56b2	046f491595d40828f2c047c0258160fcde8dea2e	66cd441015098106c438c3bebd30edc1dbcff938	d8b0a3ddce96d49c91e783df98b35319e4925d67	2025-04-29T09:38:59+09:00	feat: implement rate limiter exercise	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
27	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/027	079be976db8a552e4b5bdadb4a1ff36053f4dd5c	f4aa7555879402891854e1ec322ec320059f9da7	63fa9008701085b8abb9edecf2e2028cf4504576	3cc51263415f6a968f707aec4b7182c90894c4db	2025-04-18T09:58:39+09:00	test: cover rate limiter guarantees	7b417cbe1ddf085945d0218b2be555ebe1913127	c03c9b9a8eb2f4079702c05b7776872885ed56b2	63fa9008701085b8abb9edecf2e2028cf4504576	3cc51263415f6a968f707aec4b7182c90894c4db	2025-05-02T09:58:39+09:00	test: cover rate limiter guarantees	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
28	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/028	480ec4c5cb2b6bef968ee7f2904c8fcd1ca75787	079be976db8a552e4b5bdadb4a1ff36053f4dd5c	321b8a76eaeb701d9100b0b45d9d46954e741784	d1ca4881f8ee2cd5a9d511ba4d370acc2774c009	2025-04-21T09:18:19+09:00	test: cover rate limiter key cardinality behavior	8e2ac63626aadbfa1ade5d40d38d397090290bea	7b417cbe1ddf085945d0218b2be555ebe1913127	321b8a76eaeb701d9100b0b45d9d46954e741784	d1ca4881f8ee2cd5a9d511ba4d370acc2774c009	2025-05-05T09:18:19+09:00	test: cover rate limiter key cardinality behavior	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
29	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/029	c3f7c234c4a6dc7a9e67769a51aa9809eba11d00	115a471723e57836bc38e6ae49d4d67121a2ac00 480ec4c5cb2b6bef968ee7f2904c8fcd1ca75787	321b8a76eaeb701d9100b0b45d9d46954e741784	dd66bfc47de860efbb280e12309eff930bab59dc	2025-04-22T12:28:09+09:00	merge: integrate rate limiter exercise	3193d538d905b9316dada1c17733ea9463a528c1	eaf69c385d8801afb54d99ffb10fd5ef4ad58edc 8e2ac63626aadbfa1ade5d40d38d397090290bea	321b8a76eaeb701d9100b0b45d9d46954e741784	dd66bfc47de860efbb280e12309eff930bab59dc	2025-05-06T12:28:09+09:00	chore(merge): integrate rate limiter exercise	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
30	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/030	6d89feb3f6fb2467045f46aff093e1241ebe33b2	c3f7c234c4a6dc7a9e67769a51aa9809eba11d00	a898636a96893ebeb69de3e5a7968abd2d04c355	912b4fe4f9754be7adf9ba4417979cbd48e7f573	2025-04-26T18:57:39+09:00	feat: add spring main foundation	01f96b0947f5aa1d0a1a64edf2e8506bc91e5bd5	3193d538d905b9316dada1c17733ea9463a528c1	a898636a96893ebeb69de3e5a7968abd2d04c355	912b4fe4f9754be7adf9ba4417979cbd48e7f573	2025-05-10T18:57:39+09:00	feat: add spring main foundation	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
31	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/031	00441d0c423b646ebb0823b00bd7335755de5152	6d89feb3f6fb2467045f46aff093e1241ebe33b2	cb971775c7c2cb36f4f0ed4961af2a7a719d73c1	29dbc4861b72af2b676c9defd6af26a6830d62be	2025-04-27T19:21:49+09:00	docs: frame job queue retry exercise	88aac3870b08a7b3b1c9033fb186c7e8e9527d06	01f96b0947f5aa1d0a1a64edf2e8506bc91e5bd5	cb971775c7c2cb36f4f0ed4961af2a7a719d73c1	29dbc4861b72af2b676c9defd6af26a6830d62be	2025-05-11T19:21:49+09:00	docs: frame job queue retry exercise	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
32	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/032	79505f17d6bd0d2cf381a6bf9ce6c07db870f599	00441d0c423b646ebb0823b00bd7335755de5152	90492c09cc5e0918bcb3a1a4a2d3706f9bc34364	5461d0c8c2b50449d86169cf35eccdf029e8b33f	2025-05-01T20:58:29+09:00	feat: implement job queue retry exercise	88fc5a119710353eda116dd194cd3040f681833b	88aac3870b08a7b3b1c9033fb186c7e8e9527d06	90492c09cc5e0918bcb3a1a4a2d3706f9bc34364	5461d0c8c2b50449d86169cf35eccdf029e8b33f	2025-05-15T20:58:29+09:00	feat: implement job queue retry exercise	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
33	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/033	a3d56a4cfc5b1c968ef641c30d96af50164b8a9f	79505f17d6bd0d2cf381a6bf9ce6c07db870f599	7d9f8d9a84fa4b2ff1dc18037820fdf8d948518c	9524054c8c05ba5e4bf8430f60c0a66adb8e536f	2025-05-03T21:46:49+09:00	test: cover job queue retry guarantees	5b6009946b8f987ff3a4c535fff1c79e48d46255	88fc5a119710353eda116dd194cd3040f681833b	7d9f8d9a84fa4b2ff1dc18037820fdf8d948518c	9524054c8c05ba5e4bf8430f60c0a66adb8e536f	2025-05-17T21:46:49+09:00	test: cover job queue retry guarantees	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
34	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/034	b65fa5d71f29347de3a085dc31d8f235704e425f	c3f7c234c4a6dc7a9e67769a51aa9809eba11d00 a3d56a4cfc5b1c968ef641c30d96af50164b8a9f	7d9f8d9a84fa4b2ff1dc18037820fdf8d948518c	31d2b15ef7ecd978947a0e8092ff02b7fcdac651	2025-05-04T09:35:22+09:00	merge: integrate job queue retry exercise	81cffe637bb984ef1a9c315c2f30bf389a55d112	3193d538d905b9316dada1c17733ea9463a528c1 5b6009946b8f987ff3a4c535fff1c79e48d46255	7d9f8d9a84fa4b2ff1dc18037820fdf8d948518c	31d2b15ef7ecd978947a0e8092ff02b7fcdac651	2025-05-18T09:35:22+09:00	chore(merge): integrate job queue retry exercise	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
